,name,institution,old_country_name_acquired,current_country_name_acquired,city,state,year,field,acquired_lat,acquired_lon,acquired_country_short_name,birth_country_old_name,birth_country_current_name,birth_lat,birth_lon,birth_country_short_name,age
89,Brian D. Josephson,University of Cambridge,United Kingdom,United Kingdom,Cambridge,,1973,Physics,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,33
532,Martin Ryle,University of Cambridge,United Kingdom,United Kingdom,Cambridge,,1974,Physics,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,56
54,Antony Hewish,University of Cambridge,United Kingdom,United Kingdom,Cambridge,,1974,Physics,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,50
754,Sir Nevill F. Mott,University of Cambridge,United Kingdom,United Kingdom,Cambridge,,1977,Physics,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,72
226,Francis W. Aston,University of Cambridge,United Kingdom,United Kingdom,Cambridge,,1922,Chemistry,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,45
503,Lord Todd,University of Cambridge,United Kingdom,United Kingdom,Cambridge,,1957,Chemistry,52.205337,0.121817,GB,Scotland,Scotland,56.4906712,-4.2026458,GB,50
238,Frederick Sanger,University of Cambridge,United Kingdom,United Kingdom,Cambridge,,1958,Chemistry,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,40
746,Sir Frederick Hopkins,University of Cambridge,United Kingdom,United Kingdom,Cambridge,,1929,Physiology or Medicine,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,68
167,Edgar Adrian,University of Cambridge,United Kingdom,United Kingdom,Cambridge,,1932,Physiology or Medicine,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,43
16,Alan L. Hodgkin,University of Cambridge,United Kingdom,United Kingdom,Cambridge,,1963,Physiology or Medicine,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,49
678,Robert G. Edwards,University of Cambridge,United Kingdom,United Kingdom,Cambridge,,2010,Physiology or Medicine,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,85
386,James E. Meade,University of Cambridge,United Kingdom,United Kingdom,Cambridge,,1977,Economic Sciences,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,70
660,Richard Stone,University of Cambridge,United Kingdom,United Kingdom,Cambridge,,1984,Economic Sciences,52.205337,0.121817,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,71
382,James A. Mirrlees,University of Cambridge,United Kingdom,United Kingdom,Cambridge,,1996,Economic Sciences,52.205337,0.121817,GB,Scotland,Scotland,56.4906712,-4.2026458,GB,60
68,Arvid Carlsson,Göteborg University,Sweden,Sweden,Gothenburg,,2000,Physiology or Medicine,57.70887,11.97456,SE,Sweden,Sweden,60.128161,18.643501,SE,77
299,Gustav Hertz,Halle University,Germany,Germany,Halle,,1925,Physics,51.4969802,11.9688029,DE,Germany,Germany,51.165691,10.451526,DE,38
617,Percy W. Bridgman,Harvard University,USA,USA,Cambridge,MA,1946,Physics,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,64
165,E. M. Purcell,Harvard University,USA,USA,Cambridge,MA,1952,Physics,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,40
453,Julian Schwinger,Harvard University,USA,USA,Cambridge,MA,1965,Physics,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,47
429,John H. van Vleck,Harvard University,USA,USA,Cambridge,MA,1977,Physics,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,78
766,Steven Weinberg,Harvard University,USA,USA,Cambridge,MA,1979,Physics,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,46
569,Nicolaas Bloembergen,Harvard University,USA,USA,Cambridge,MA,1981,Physics,42.3736158,-71.1097335,US,the Netherlands,the Netherlands,52.132633,5.291266,NL,61
577,Norman F. Ramsey,Harvard University,USA,USA,Cambridge,MA,1989,Physics,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,74
706,Roy J. Glauber,Harvard University,USA,USA,Cambridge,MA,2005,Physics,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,80
782,Theodore W. Richards,Harvard University,USA,USA,Cambridge,MA,1914,Chemistry,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,46
669,Robert B. Woodward,Harvard University,USA,USA,Cambridge,MA,1965,Chemistry,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,48
842,William Lipscomb,Harvard University,USA,USA,Cambridge,MA,1976,Chemistry,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,57
163,Dudley R. Herschbach,Harvard University,USA,USA,Cambridge,MA,1986,Chemistry,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,54
185,Elias James Corey,Harvard University,USA,USA,Cambridge,MA,1990,Chemistry,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,62
528,Martin Karplus,Harvard University,USA,USA,Cambridge,MA,2013,Chemistry,42.3736158,-71.1097335,US,Austria,Austria,47.516231,14.550072,AT,83
528,Martin Karplus,Université de Strasbourg,France,France,Strasbourg,,2013,Chemistry,48.5734053,7.7521113,FR,Austria,Austria,47.516231,14.550072,AT,83
274,George R. Minot,Harvard University,USA,USA,Cambridge,MA,1934,Physiology or Medicine,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,49
259,Georg von Békésy,Harvard University,USA,USA,Cambridge,MA,1961,Physiology or Medicine,42.3736158,-71.1097335,US,Hungary,Hungary,47.162494,19.503304,HU,62
393,James Watson,Harvard University,USA,USA,Cambridge,MA,1962,Physiology or Medicine,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,34
475,Konrad Bloch,Harvard University,USA,USA,Cambridge,MA,1964,Physiology or Medicine,42.3736158,-71.1097335,US,Germany,Poland,51.919438,19.145136,PL,52
275,George Wald,Harvard University,USA,USA,Cambridge,MA,1967,Physiology or Medicine,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,61
641,Ralph Bunche,Harvard University,USA,USA,Cambridge,MA,1950,Peace,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,46
735,Simon Kuznets,Harvard University,USA,USA,Cambridge,MA,1971,Economic Sciences,42.3736158,-71.1097335,US,Russian Empire,Belarus,53.709807,27.953389,BY,70
467,Kenneth J. Arrow,Harvard University,USA,USA,Cambridge,MA,1972,Economic Sciences,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,51
820,Wassily Leontief,Harvard University,USA,USA,Cambridge,MA,1973,Economic Sciences,42.3736158,-71.1097335,US,Russia,Russia,61.52401,105.318756,RU,67
671,Robert C. Merton,Harvard University,USA,USA,Cambridge,MA,1997,Economic Sciences,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,53
813,Walter Gilbert,Harvard University,USA,USA,Cambridge,MA,1980,Chemistry,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,48
727,Sheldon Glashow,Harvard University,USA,USA,Cambridge,MA,1979,Physics,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,47
113,Charles H. Townes,Massachusetts Institute of Technology (MIT),USA,USA,Cambridge,MA,1964,Physics,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,49
717,Samuel C.C. Ting,Massachusetts Institute of Technology (MIT),USA,USA,Cambridge,MA,1976,Physics,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,40
405,Jerome I. Friedman,Massachusetts Institute of Technology (MIT),USA,USA,Cambridge,MA,1990,Physics,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,60
337,Henry W. Kendall,Massachusetts Institute of Technology (MIT),USA,USA,Cambridge,MA,1990,Physics,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,64
128,Clifford G. Shull,Massachusetts Institute of Technology (MIT),USA,USA,Cambridge,MA,1994,Physics,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,79
852,Wolfgang Ketterle,Massachusetts Institute of Technology (MIT),USA,USA,Cambridge,MA,2001,Physics,42.3736158,-71.1097335,US,West Germany,Germany,51.165691,10.451526,DE,44
229,Frank Wilczek,Massachusetts Institute of Technology (MIT),USA,USA,Cambridge,MA,2004,Physics,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,53
523,Mario J. Molina,Massachusetts Institute of Technology (MIT),USA,USA,Cambridge,MA,1995,Chemistry,42.3736158,-71.1097335,US,Mexico,Mexico,23.634501,-102.552784,US,52
659,Richard R. Schrock,Massachusetts Institute of Technology (MIT),USA,USA,Cambridge,MA,2005,Chemistry,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,60
714,Salvador E. Luria,Massachusetts Institute of Technology (MIT),USA,USA,Cambridge,MA,1969,Physiology or Medicine,42.3736158,-71.1097335,US,Italy,Italy,41.87194,12.56738,IT,57
146,David Baltimore,Massachusetts Institute of Technology (MIT),USA,USA,Cambridge,MA,1975,Physiology or Medicine,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,37
770,Susumu Tonegawa,Massachusetts Institute of Technology (MIT),USA,USA,Cambridge,MA,1987,Physiology or Medicine,42.3736158,-71.1097335,US,Japan,Japan,36.204824,138.252924,JP,48
305,H. Robert Horvitz,Massachusetts Institute of Technology (MIT),USA,USA,Cambridge,MA,2002,Physiology or Medicine,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,55
600,Paul A. Samuelson,Massachusetts Institute of Technology (MIT),USA,USA,Cambridge,MA,1970,Economic Sciences,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,55
227,Franco Modigliani,Massachusetts Institute of Technology (MIT),USA,USA,Cambridge,MA,1985,Economic Sciences,42.3736158,-71.1097335,US,Italy,Italy,41.87194,12.56738,IT,67
686,Robert M. Solow,Massachusetts Institute of Technology (MIT),USA,USA,Cambridge,MA,1987,Economic Sciences,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,63
618,Peter A. Diamond,Massachusetts Institute of Technology (MIT),USA,USA,Cambridge,MA,2010,Economic Sciences,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,70
631,Phillip A. Sharp,Massachusetts Institute of Technology (MIT),USA,USA,Cambridge,MA,1993,Physiology or Medicine,42.3736158,-71.1097335,US,USA,USA,37.09024,-95.712891,US,49
516,Makoto Kobayashi,High Energy Accelerator Research Organization (KEK),Japan,Japan,Tsukuba,,2008,Physics,36.0834857,140.0766423,JP,Japan,Japan,36.204824,138.252924,JP,64
12,Akira Suzuki,Hokkaido University,Japan,Japan,Sapporo,,2010,Chemistry,43.0620958,141.3543763,JP,Japan,Japan,36.204824,138.252924,JP,80
699,Roger Y. Tsien,Howard Hughes Medical Institute,USA,USA,Chevy Chase,MD,2008,Chemistry,38.9949153,-77.0772052,US,USA,USA,37.09024,-95.712891,US,56
699,Roger Y. Tsien,University of California,USA,USA,San Diego,CA,2008,Chemistry,32.715738,-117.1610838,US,USA,USA,37.09024,-95.712891,US,56
784,Thomas A. Steitz,Howard Hughes Medical Institute,USA,USA,Chevy Chase,MD,2009,Chemistry,38.9949153,-77.0772052,US,USA,USA,37.09024,-95.712891,US,69
784,Thomas A. Steitz,Yale University,USA,USA,New Haven,CT,2009,Chemistry,41.308274,-72.9278835,US,USA,USA,37.09024,-95.712891,US,69
644,Randy W. Schekman,Howard Hughes Medical Institute,USA,USA,Chevy Chase,MD,2013,Physiology or Medicine,38.9949153,-77.0772052,US,USA,USA,37.09024,-95.712891,US,65
644,Randy W. Schekman,University of California,USA,USA,Berkeley,CA,2013,Physiology or Medicine,37.8715926,-122.272747,US,USA,USA,37.09024,-95.712891,US,65
786,Thomas C. Südhof,Howard Hughes Medical Institute,USA,USA,Chevy Chase,MD,2013,Physiology or Medicine,38.9949153,-77.0772052,US,Germany,Germany,51.165691,10.451526,DE,58
786,Thomas C. Südhof,Stanford University,USA,USA,Stanford,CA,2013,Physiology or Medicine,37.424106,-122.1660756,US,Germany,Germany,51.165691,10.451526,DE,58
487,Leo Esaki,IBM Thomas J. Watson Research Center,USA,USA,Yorktown Heights,NY,1973,Physics,41.2709274,-73.7776336,US,Japan,Japan,36.204824,138.252924,JP,48
283,Gerd Binnig,IBM Zurich Research Laboratory,Switzerland,Switzerland,Rüschlikon,,1986,Physics,47.3066286,8.5510601,CH,West Germany,Germany,51.165691,10.451526,DE,39
325,Heinrich Rohrer,IBM Zurich Research Laboratory,Switzerland,Switzerland,Rüschlikon,,1986,Physics,47.3066286,8.5510601,CH,Switzerland,Switzerland,46.818188,8.227512,CH,53
370,J. Georg Bednorz,IBM Zurich Research Laboratory,Switzerland,Switzerland,Rüschlikon,,1987,Physics,47.3066286,8.5510601,CH,West Germany,Germany,51.165691,10.451526,DE,37
456,K. Alex Müller,IBM Zurich Research Laboratory,Switzerland,Switzerland,Rüschlikon,,1987,Physics,47.3066286,8.5510601,CH,Switzerland,Switzerland,46.818188,8.227512,CH,60
345,Hermann J. Muller,Indiana University,USA,USA,Bloomington,IN,1946,Physiology or Medicine,39.165325,-86.5263857,US,USA,USA,37.09024,-95.712891,US,56
808,Victor F. Hess,Innsbruck University,Austria,Austria,Innsbruck,,1936,Physics,47.2692124,11.4041024,AT,Austria,Austria,47.516231,14.550072,AT,53
861,Yves Chauvin,Institut Français du Pétrole,France,France,Rueil-Malmaison,,2005,Chemistry,48.882767,2.17693,FR,Belgium,Belgium,50.503887,4.469936,BE,75
118,Chen Ning Yang,Institute for Advanced Study,USA,USA,Princeton,NJ,1957,Physics,40.3572976,-74.6672226,US,China,China,35.86166,104.195397,CN,35
200,Eric S. Maskin,Institute for Advanced Study,USA,USA,Princeton,NJ,2007,Economic Sciences,40.3572976,-74.6672226,US,USA,USA,37.09024,-95.712891,US,57
854,Wolfgang Pauli,Princeton University,USA,USA,Princeton,NJ,1945,Physics,40.3572976,-74.6672226,US,Austria,Austria,47.516231,14.550072,AT,45
214,Eugene Wigner,Princeton University,USA,USA,Princeton,NJ,1963,Physics,40.3572976,-74.6672226,US,Austria-Hungary,Hungary,47.162494,19.503304,HU,61
803,Val Fitch,Princeton University,USA,USA,Princeton,NJ,1980,Physics,40.3572976,-74.6672226,US,USA,USA,37.09024,-95.712891,US,57
711,Russell A. Hulse,Princeton University,USA,USA,Princeton,NJ,1993,Physics,40.3572976,-74.6672226,US,USA,USA,37.09024,-95.712891,US,43
443,Joseph H. Taylor Jr.,Princeton University,USA,USA,Princeton,NJ,1993,Physics,40.3572976,-74.6672226,US,USA,USA,37.09024,-95.712891,US,52
141,Daniel C. Tsui,Princeton University,USA,USA,Princeton,NJ,1998,Physics,40.3572976,-74.6672226,US,China,China,35.86166,104.195397,CN,59
198,Eric F. Wieschaus,Princeton University,USA,USA,Princeton,NJ,1995,Physiology or Medicine,40.3572976,-74.6672226,US,USA,USA,37.09024,-95.712891,US,48
740,Sir Arthur Lewis,Princeton University,USA,USA,Princeton,NJ,1979,Economic Sciences,40.3572976,-74.6672226,US,British West Indies,Saint Lucia,13.909444,-60.978893,LC,64
426,John F. Nash Jr.,Princeton University,USA,USA,Princeton,NJ,1994,Economic Sciences,40.3572976,-74.6672226,US,USA,USA,37.09024,-95.712891,US,66
142,Daniel Kahneman,Princeton University,USA,USA,Princeton,NJ,2002,Economic Sciences,40.3572976,-74.6672226,US,British Mandate of Palestine,Israel,31.046051,34.851612,IL,68
612,Paul Krugman,Princeton University,USA,USA,Princeton,NJ,2008,Economic Sciences,40.3572976,-74.6672226,US,USA,USA,37.09024,-95.712891,US,55
125,Christopher A. Sims,Princeton University,USA,USA,Princeton,NJ,2011,Economic Sciences,40.3572976,-74.6672226,US,USA,USA,37.09024,-95.712891,US,69
428,John H. Northrop,Rockefeller Institute for Medical Research,USA,USA,Princeton,NJ,1946,Chemistry,40.3572976,-74.6672226,US,USA,USA,37.09024,-95.712891,US,55
821,Wendell M. Stanley,Rockefeller Institute for Medical Research,USA,USA,Princeton,NJ,1946,Chemistry,40.3572976,-74.6672226,US,USA,USA,37.09024,-95.712891,US,42
512,Luis Leloir,Institute for Biochemical Research,Argentina,Argentina,Buenos Aires,,1970,Chemistry,-34.6037232,-58.3815931,AR,France,France,46.227638,2.213749,FR,64
80,Bernardo Houssay,Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Argentina,Argentina,Buenos Aires,,1947,Physiology or Medicine,-34.6037232,-58.3815931,AR,Argentina,Argentina,-38.416097,-63.616672,AR,60
664,Rita Levi-Montalcini,Institute of Cell Biology of the C.N.R.,Italy,Italy,Rome,,1986,Physiology or Medicine,41.9027835,12.4963655,IT,Italy,Italy,41.87194,12.56738,IT,77
140,Daniel Bovet,Istituto Superiore di Sanità (Chief Institute of Public Health),Italy,Italy,Rome,,1957,Physiology or Medicine,41.9027835,12.4963655,IT,Switzerland,Switzerland,46.818188,8.227512,CH,50
195,Enrico Fermi,Rome University,Italy,Italy,Rome,,1938,Physics,41.9027835,12.4963655,IT,Italy,Italy,41.87194,12.56738,IT,37
292,Giulio Natta,Institute of Technology,Italy,Italy,Milan,,1963,Chemistry,45.4654219,9.1859243,IT,Italy,Italy,41.87194,12.56738,IT,60
265,George D. Snell,Jackson Laboratory,USA,USA,Bar Harbor,ME,1980,Physiology or Medicine,44.3876119,-68.2039123,US,USA,USA,37.09024,-95.712891,US,77
197,Eric Betzig,Janelia Research Campus,USA,USA,Ashburn,VA,2014,Chemistry,39.0437567,-77.4874416,US,USA,USA,37.09024,-95.712891,US,54
6,Adam G. Riess,Johns Hopkins University,USA,USA,Baltimore,MD,2011,Physics,39.2903848,-76.6121893,US,USA,USA,37.09024,-95.712891,US,42
6,Adam G. Riess,Space Telescope Science Institute,USA,USA,Baltimore,MD,2011,Physics,39.2903848,-76.6121893,US,USA,USA,37.09024,-95.712891,US,42
619,Peter Agre,Johns Hopkins University School of Medicine,USA,USA,Baltimore,MD,2003,Chemistry,39.2903848,-76.6121893,US,USA,USA,37.09024,-95.712891,US,54
144,Daniel Nathans,Johns Hopkins University School of Medicine,USA,USA,Baltimore,MD,1978,Physiology or Medicine,39.2903848,-76.6121893,US,USA,USA,37.09024,-95.712891,US,50
308,Hamilton O. Smith,Johns Hopkins University School of Medicine,USA,USA,Baltimore,MD,1978,Physiology or Medicine,39.2903848,-76.6121893,US,USA,USA,37.09024,-95.712891,US,47
107,Carol W. Greider,Johns Hopkins University School of Medicine,USA,USA,Baltimore,MD,2009,Physiology or Medicine,39.2903848,-76.6121893,US,USA,USA,37.09024,-95.712891,US,48
246,Fritz Haber,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Germany,Germany,Berlin-Dahlem,,1918,Chemistry,52.458056,13.2875,DE,Prussia,Poland,51.919438,19.145136,PL,50
588,Otto Hahn,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Germany,Germany,Berlin-Dahlem,,1944,Chemistry,52.458056,13.2875,DE,Germany,Germany,51.165691,10.451526,DE,65
593,Otto Warburg,Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biologie,Germany,Germany,Berlin-Dahlem,,1931,Physiology or Medicine,52.458056,13.2875,DE,Germany,Germany,51.165691,10.451526,DE,48
640,Ragnar Granit,Karolinska Institutet,Sweden,Sweden,Stockholm,,1967,Physiology or Medicine,59.3293235,18.0685808,SE,Russian Empire,Finland,61.92411,25.748151,FI,67
801,Ulf von Euler,Karolinska Institutet,Sweden,Sweden,Stockholm,,1970,Physiology or Medicine,59.3293235,18.0685808,SE,Sweden,Sweden,60.128161,18.643501,SE,65
769,Sune K. Bergström,Karolinska Institutet,Sweden,Sweden,Stockholm,,1982,Physiology or Medicine,59.3293235,18.0685808,SE,Sweden,Sweden,60.128161,18.643501,SE,66
79,Bengt I. Samuelsson,Karolinska Institutet,Sweden,Sweden,Stockholm,,1982,Physiology or Medicine,59.3293235,18.0685808,SE,Sweden,Sweden,60.128161,18.643501,SE,48
354,Hugo Theorell,Karolinska Institutet,Sweden,Sweden,Stockholm,,1955,Physiology or Medicine,59.3293235,18.0685808,SE,Sweden,Sweden,60.128161,18.643501,SE,52
309,Hannes Alfvén,Royal Institute of Technology,Sweden,Sweden,Stockholm,,1970,Physics,59.3293235,18.0685808,SE,Sweden,Sweden,60.128161,18.643501,SE,62
83,Bertil Ohlin,Stockholm School of Economics,Sweden,Sweden,Stockholm,,1977,Economic Sciences,59.3293235,18.0685808,SE,Sweden,Sweden,60.128161,18.643501,SE,78
771,Svante Arrhenius,Stockholm University,Sweden,Sweden,Stockholm,,1903,Chemistry,59.3293235,18.0685808,SE,Sweden,Sweden,60.128161,18.643501,SE,44
315,Hans von Euler-Chelpin,Stockholm University,Sweden,Sweden,Stockholm,,1929,Chemistry,59.3293235,18.0685808,SE,Germany,Germany,51.165691,10.451526,DE,56
276,George de Hevesy,Stockholm University,Sweden,Sweden,Stockholm,,1943,Chemistry,59.3293235,18.0685808,SE,Austria-Hungary,Hungary,47.162494,19.503304,HU,58
630,Philipp Lenard,Kiel University,Germany,Germany,Kiel,,1905,Physics,54.3232927,10.1227652,DE,Hungary,Slovakia,48.669026,19.699024,SK,43
590,Otto Meyerhof,Kiel University,Germany,Germany,Kiel,,1922,Physiology or Medicine,54.3232927,10.1227652,DE,Germany,Germany,51.165691,10.451526,DE,38
587,Otto Diels,Kiel University,Federal Republic of Germany,Federal Republic of Germany,Kiel,,1950,Chemistry,54.3232927,10.1227652,DE,Germany,Germany,51.165691,10.451526,DE,74
476,Konrad Lorenz,Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen­schaften,Austria,Austria,Altenberg,,1973,Physiology or Medicine,48.3736086,14.3495882,AT,Austria,Austria,47.516231,14.550072,AT,70
798,Toshihide Maskawa,Kyoto Sangyo University,Japan,Japan,Kyoto,,2008,Physics,35.0116363,135.7680294,JP,Japan,Japan,36.204824,138.252924,JP,68
798,Toshihide Maskawa,Yukawa Institute for Theoretical Physics (YITP),Japan,Japan,Kyoto,,2008,Physics,35.0116363,135.7680294,JP,Japan,Japan,36.204824,138.252924,JP,68
465,Kenichi Fukui,Kyoto University,Japan,Japan,Kyoto,,1981,Chemistry,35.0116363,135.7680294,JP,Japan,Japan,36.204824,138.252924,JP,63
474,Koichi Tanaka,Shimadzu Corp.,Japan,Japan,Kyoto,,2002,Chemistry,35.0116363,135.7680294,JP,Japan,Japan,36.204824,138.252924,JP,43
720,Saul Perlmutter,Lawrence Berkeley National Laboratory,USA,USA,Berkeley,CA,2011,Physics,37.8715926,-122.272747,US,USA,USA,37.09024,-95.712891,US,52
720,Saul Perlmutter,University of California,USA,USA,Berkeley,CA,2011,Physics,37.8715926,-122.272747,US,USA,USA,37.09024,-95.712891,US,52
772,Sydney Brenner,The Molecular Sciences Institute,USA,USA,Berkeley,CA,2002,Physiology or Medicine,37.8715926,-122.272747,US,South Africa,South Africa,-30.559482,22.937506,ZA,75
203,Ernest Lawrence,University of California,USA,USA,Berkeley,CA,1939,Physics,37.8715926,-122.272747,US,USA,USA,37.09024,-95.712891,US,38
193,Emilio Segrè,University of California,USA,USA,Berkeley,CA,1959,Physics,37.8715926,-122.272747,US,Italy,Italy,41.87194,12.56738,IT,54
594,Owen Chamberlain,University of California,USA,USA,Berkeley,CA,1959,Physics,37.8715926,-122.272747,US,USA,USA,37.09024,-95.712891,US,39
157,Donald A. Glaser,University of California,USA,USA,Berkeley,CA,1960,Physics,37.8715926,-122.272747,US,USA,USA,37.09024,-95.712891,US,34
511,Luis Alvarez,University of California,USA,USA,Berkeley,CA,1968,Physics,37.8715926,-122.272747,US,USA,USA,37.09024,-95.712891,US,57
268,George F. Smoot,University of California,USA,USA,Berkeley,CA,2006,Physics,37.8715926,-122.272747,US,USA,USA,37.09024,-95.712891,US,61
837,William F. Giauque,University of California,USA,USA,Berkeley,CA,1949,Chemistry,37.8715926,-122.272747,US,Canada,Canada,56.130366,-106.346771,CA,54
179,Edwin M. McMillan,University of California,USA,USA,Berkeley,CA,1951,Chemistry,37.8715926,-122.272747,US,USA,USA,37.09024,-95.712891,US,44
293,Glenn T. Seaborg,University of California,USA,USA,Berkeley,CA,1951,Chemistry,37.8715926,-122.272747,US,USA,USA,37.09024,-95.712891,US,39
546,Melvin Calvin,University of California,USA,USA,Berkeley,CA,1961,Chemistry,37.8715926,-122.272747,US,USA,USA,37.09024,-95.712891,US,50
860,Yuan T. Lee,University of California,USA,USA,Berkeley,CA,1986,Chemistry,37.8715926,-122.272747,US,Taiwan,Taiwan,23.69781,120.960515,TW,50
281,Gerard Debreu,University of California,USA,USA,Berkeley,CA,1983,Economic Sciences,37.8715926,-122.272747,US,France,France,46.227638,2.213749,FR,62
417,John C. Harsanyi,University of California,USA,USA,Berkeley,CA,1994,Economic Sciences,37.8715926,-122.272747,US,Hungary,Hungary,47.162494,19.503304,HU,74
143,Daniel L. McFadden,University of California,USA,USA,Berkeley,CA,2000,Economic Sciences,37.8715926,-122.272747,US,USA,USA,37.09024,-95.712891,US,63
260,George A. Akerlof,University of California,USA,USA,Berkeley,CA,2001,Economic Sciences,37.8715926,-122.272747,US,USA,USA,37.09024,-95.712891,US,61
582,Oliver E. Williamson,University of California,USA,USA,Berkeley,CA,2009,Economic Sciences,37.8715926,-122.272747,US,USA,USA,37.09024,-95.712891,US,77
327,Hendrik A. Lorentz,Leiden University,the Netherlands,the Netherlands,Leiden,,1902,Physics,52.1601144,4.4970097,NL,the Netherlands,the Netherlands,52.132633,5.291266,NL,49
323,Heike Kamerlingh Onnes,Leiden University,the Netherlands,the Netherlands,Leiden,,1913,Physics,52.1601144,4.4970097,NL,the Netherlands,the Netherlands,52.132633,5.291266,NL,60
830,Willem Einthoven,Leiden University,the Netherlands,the Netherlands,Leiden,,1924,Physiology or Medicine,52.1601144,4.4970097,NL,"Java, Dutch East Indies",Indonesia,-0.789275,113.921327,ID,64
824,Werner Heisenberg,Leipzig University,Germany,Germany,Leipzig,,1932,Physics,51.3396955,12.3730747,DE,Germany,Germany,51.165691,10.451526,DE,31
826,Wilhelm Ostwald,Leipzig University,Germany,Germany,Leipzig,,1909,Chemistry,51.3396955,12.3730747,DE,Russian Empire,Latvia,56.879635,24.603189,LV,56
384,James Chadwick,Liverpool University,United Kingdom,United Kingdom,Liverpool,,1935,Physics,53.4083714,-2.9915726,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,44
704,Ronald Ross,University College,United Kingdom,United Kingdom,Liverpool,,1902,Physiology or Medicine,53.4083714,-2.9915726,GB,India,India,20.593684,78.96288,IN,45
562,Myron S. Scholes,Long Term Capital Management,USA,USA,Greenwich,CT,1997,Economic Sciences,41.0262417,-73.6281964,US,Canada,Canada,56.130366,-106.346771,CA,56
780,Theodor W. Hänsch,Ludwig-Maximilians- Universität,Germany,Germany,Munich,,2005,Physics,48.1351253,11.5819806,DE,Germany,Germany,51.165691,10.451526,DE,64
780,Theodor W. Hänsch,Max-Planck-Institut für Quantenoptik,Germany,Germany,Garching,,2005,Physics,48.2488721,11.6532477,DE,Germany,Germany,51.165691,10.451526,DE,64
825,Wilhelm Conrad Röntgen,Munich University,Germany,Germany,Munich,,1901,Physics,48.1351253,11.5819806,DE,Prussia,Germany,51.165691,10.451526,DE,56
9,Adolf von Baeyer,Munich University,Germany,Germany,Munich,,1905,Chemistry,48.1351253,11.5819806,DE,Prussia,Germany,51.165691,10.451526,DE,70
