,name,institution,old_country_name_acquired,current_country_name_acquired,city,state,year,field,acquired_lat,acquired_lon,acquired_country_short_name,birth_country_old_name,birth_country_current_name,birth_lat,birth_lon,birth_country_short_name,age
665,Roald Hoffmann,Cornell University,USA,USA,Ithaca,NY,1981,Chemistry,42.4439614,-76.5018807,US,Poland,Ukraine,48.379433,31.16558,UA,44
690,Robert W. Holley,Cornell University,USA,USA,Ithaca,NY,1968,Physiology or Medicine,42.4439614,-76.5018807,US,USA,USA,37.09024,-95.712891,US,46
547,Melvin Schwartz,Digital Pathways,USA,USA,Mountain View,CA,1988,Physics,37.3860517,-122.0838511,US,USA,USA,37.09024,-95.712891,US,56
832,William B. Shockley,Semiconductor Laboratory of Beckman Instruments,USA,USA,Mountain View,CA,1956,Physics,37.3860517,-122.0838511,US,United Kingdom,United Kingdom,55.378051,-3.435973,GB,46
114,Charles J. Pedersen,Du Pont,USA,USA,Wilmington,DE,1987,Chemistry,39.7390721,-75.5397878,US,Korea,South Korea,35.907757,127.766922,KR,83
683,Robert J. Lefkowitz,Duke University Medical Center,USA,USA,Durham,NC,2012,Chemistry,35.9940329,-78.898619,US,USA,USA,37.09024,-95.712891,US,69
683,Robert J. Lefkowitz,Howard Hughes Medical Institute,USA,USA,Chevy Chase,MD,2012,Chemistry,38.9949153,-77.0772052,US,USA,USA,37.09024,-95.712891,US,69
112,Charles Glover Barkla,Edinburgh University,United Kingdom,United Kingdom,Edinburgh,,1917,Physics,55.953252,-3.188267,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,40
539,Max Born,Edinburgh University,United Kingdom,United Kingdom,Edinburgh,,1954,Physics,55.953252,-3.188267,GB,Germany,Poland,51.919438,19.145136,PL,72
623,Peter Higgs,University of Edinburgh,United Kingdom,United Kingdom,Edinburgh,,2013,Physics,55.953252,-3.188267,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,84
492,Leopold Ruzicka,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Switzerland,Switzerland,Zurich,,1939,Chemistry,47.3686498,8.5391825,CH,Austria-Hungary,Croatia,45.1,15.2,HR,52
812,Vladimir Prelog,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Switzerland,Switzerland,Zurich,,1975,Chemistry,47.3686498,8.5391825,CH,Austria-Hungary,Bosnia and Herzegovina,43.915886,17.679076,BA,69
658,Richard R. Ernst,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Switzerland,Switzerland,Zurich,,1991,Chemistry,47.3686498,8.5391825,CH,Switzerland,Switzerland,46.818188,8.227512,CH,58
479,Kurt Wüthrich,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Switzerland,Switzerland,Zurich,,2002,Chemistry,47.3686498,8.5391825,CH,Switzerland,Switzerland,46.818188,8.227512,CH,64
479,Kurt Wüthrich,The Scripps Research Institute,USA,USA,La Jolla,CA,2002,Chemistry,32.8328112,-117.2712717,US,Switzerland,Switzerland,46.818188,8.227512,CH,64
36,Alfred Werner,University of Zurich,Switzerland,Switzerland,Zurich,,1913,Chemistry,47.3686498,8.5391825,CH,France,France,46.227638,2.213749,FR,47
611,Paul Karrer,University of Zurich,Switzerland,Switzerland,Zurich,,1937,Chemistry,47.3686498,8.5391825,CH,Russia,Russia,61.52401,105.318756,RU,48
815,Walter Hess,University of Zurich,Switzerland,Switzerland,Zurich,,1949,Physiology or Medicine,47.3686498,8.5391825,CH,Switzerland,Switzerland,46.818188,8.227512,CH,68
700,Rolf M. Zinkernagel,University of Zurich,Switzerland,Switzerland,Zurich,,1996,Physiology or Medicine,47.3686498,8.5391825,CH,Switzerland,Switzerland,46.818188,8.227512,CH,52
859,Yoichiro Nambu,Enrico Fermi Institute,USA,USA,Chicago,IL,2008,Physics,41.8781136,-87.6297982,US,Japan,Japan,36.204824,138.252924,JP,87
17,Albert A. Michelson,University of Chicago,USA,USA,Chicago,IL,1907,Physics,41.8781136,-87.6297982,US,Prussia,Poland,51.919438,19.145136,PL,55
62,Arthur H. Compton,University of Chicago,USA,USA,Chicago,IL,1927,Physics,41.8781136,-87.6297982,US,USA,USA,37.09024,-95.712891,US,35
385,James Cronin,University of Chicago,USA,USA,Chicago,IL,1980,Physics,41.8781136,-87.6297982,US,USA,USA,37.09024,-95.712891,US,49
767,Subramanyan Chandrasekhar,University of Chicago,USA,USA,Chicago,IL,1983,Physics,41.8781136,-87.6297982,US,India,Pakistan,30.375321,69.345116,PK,73
687,Robert S. Mulliken,University of Chicago,USA,USA,Chicago,IL,1966,Chemistry,41.8781136,-87.6297982,US,USA,USA,37.09024,-95.712891,US,70
556,Milton Friedman,University of Chicago,USA,USA,Chicago,IL,1976,Economic Sciences,41.8781136,-87.6297982,US,USA,USA,37.09024,-95.712891,US,64
783,Theodore W. Schultz,University of Chicago,USA,USA,Chicago,IL,1979,Economic Sciences,41.8781136,-87.6297982,US,USA,USA,37.09024,-95.712891,US,77
271,George J. Stigler,University of Chicago,USA,USA,Chicago,IL,1982,Economic Sciences,41.8781136,-87.6297982,US,USA,USA,37.09024,-95.712891,US,71
549,Merton H. Miller,University of Chicago,USA,USA,Chicago,IL,1990,Economic Sciences,41.8781136,-87.6297982,US,USA,USA,37.09024,-95.712891,US,67
703,Ronald H. Coase,University of Chicago,USA,USA,Chicago,IL,1991,Economic Sciences,41.8781136,-87.6297982,US,United Kingdom,United Kingdom,55.378051,-3.435973,GB,81
256,Gary S. Becker,University of Chicago,USA,USA,Chicago,IL,1992,Economic Sciences,41.8781136,-87.6297982,US,USA,USA,37.09024,-95.712891,US,62
689,Robert W. Fogel,University of Chicago,USA,USA,Chicago,IL,1993,Economic Sciences,41.8781136,-87.6297982,US,USA,USA,37.09024,-95.712891,US,67
674,Robert E. Lucas Jr.,University of Chicago,USA,USA,Chicago,IL,1995,Economic Sciences,41.8781136,-87.6297982,US,USA,USA,37.09024,-95.712891,US,58
389,James J. Heckman,University of Chicago,USA,USA,Chicago,IL,2000,Economic Sciences,41.8781136,-87.6297982,US,USA,USA,37.09024,-95.712891,US,56
694,Roger B. Myerson,University of Chicago,USA,USA,Chicago,IL,2007,Economic Sciences,41.8781136,-87.6297982,US,USA,USA,37.09024,-95.712891,US,56
212,Eugene F. Fama,University of Chicago,USA,USA,Chicago,IL,2013,Economic Sciences,41.8781136,-87.6297982,US,USA,USA,37.09024,-95.712891,US,74
481,Lars Peter Hansen,University of Chicago,USA,USA,Chicago,IL,2013,Economic Sciences,41.8781136,-87.6297982,US,USA,USA,37.09024,-95.712891,US,61
109,Charles B. Huggins,University of Chicago,USA,USA,Chicago,IL,1966,Physiology or Medicine,41.8781136,-87.6297982,US,Canada,Canada,56.130366,-106.346771,CA,65
490,Leonid Hurwicz,University of Minnesota,USA,USA,Minneapolis,MN,2007,Economic Sciences,44.977753,-93.2650108,US,Russia,Russia,61.52401,105.318756,RU,90
488,Leon M. Lederman,Fermi National Accelerator Laboratory,USA,USA,Batavia,IL,1988,Physics,41.8500284,-88.3125738,US,USA,USA,37.09024,-95.712891,US,66
622,Peter Grünberg,Forschungszentrum Jülich,Germany,Germany,Jülich,,2007,Physics,50.9224226,6.3639119,DE,Czechoslovakia,Czech Republic,49.817492,15.472962,CZ,68
544,Max von Laue,Frankfurt-on-the-Main University,Germany,Germany,Frankfurt-on-the-Main,,1914,Physics,50.1109221,8.6821267,DE,Germany,Germany,51.165691,10.451526,DE,35
605,Paul Ehrlich,Königliches Institut für experimentelle Therapie (Royal Institute for Experimental Therapy),Germany,Germany,Frankfurt-on-the-Main,,1908,Physiology or Medicine,50.1109221,8.6821267,DE,Prussia,Poland,51.919438,19.145136,PL,54
605,Paul Ehrlich,Goettingen University,Germany,Germany,Göttingen,,1908,Physiology or Medicine,51.5412804,9.9158035,DE,Prussia,Poland,51.919438,19.145136,PL,54
164,E. Donnall Thomas,Fred Hutchinson Cancer Research Center,USA,USA,Seattle,WA,1990,Physiology or Medicine,47.6062095,-122.3320708,US,USA,USA,37.09024,-95.712891,US,70
486,Leland H. Hartwell,Fred Hutchinson Cancer Research Center,USA,USA,Seattle,WA,2001,Physiology or Medicine,47.6062095,-122.3320708,US,USA,USA,37.09024,-95.712891,US,62
496,Linda B. Buck,Fred Hutchinson Cancer Research Center,USA,USA,Seattle,WA,2004,Physiology or Medicine,47.6062095,-122.3320708,US,USA,USA,37.09024,-95.712891,US,57
312,Hans G. Dehmelt,University of Washington,USA,USA,Seattle,WA,1989,Physics,47.6062095,-122.3320708,US,Prussia,Germany,51.165691,10.451526,DE,67
168,Edmond H. Fischer,University of Washington,USA,USA,Seattle,WA,1992,Physiology or Medicine,47.6062095,-122.3320708,US,China,China,35.86166,104.195397,CN,72
178,Edwin G. Krebs,University of Washington,USA,USA,Seattle,WA,1992,Physiology or Medicine,47.6062095,-122.3320708,US,USA,USA,37.09024,-95.712891,US,74
209,Ernst Ruska,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Federal Republic of Germany,Federal Republic of Germany,Berlin,,1986,Physics,52.5200066,13.404954,DE,Germany,Germany,51.165691,10.451526,DE,80
368,Ivar Giaever,General Electric Company,USA,USA,Schenectady,NY,1973,Physics,42.8142432,-73.9395687,US,Norway,Norway,60.472024,8.468946,NO,44
360,Irving Langmuir,General Electric Company,USA,USA,Schenectady,NY,1932,Chemistry,42.8142432,-73.9395687,US,USA,USA,37.09024,-95.712891,US,51
764,Stefan W. Hell,German Cancer Research Center,Germany,Germany,Heidelberg,,2014,Chemistry,49.3987524,8.6724335,DE,Romania,Romania,45.943161,24.96676,RO,52
764,Stefan W. Hell,Max Planck Institute for Biophysical Chemistry,Germany,Germany,Göttingen,,2014,Chemistry,51.5412804,9.9158035,DE,Romania,Romania,45.943161,24.96676,RO,52
316,Harald zur Hausen,German Cancer Research Center,Germany,Germany,Heidelberg,,2008,Physiology or Medicine,49.3987524,8.6724335,DE,Germany,Germany,51.165691,10.451526,DE,72
98,Carl Bosch,I.G. Farbenindustrie A.G.,Germany,Germany,Heidelberg,,1931,Chemistry,49.3987524,8.6724335,DE,Germany,Germany,51.165691,10.451526,DE,57
98,Carl Bosch,University of Heidelberg,Germany,Germany,Heidelberg,,1931,Chemistry,49.3987524,8.6724335,DE,Germany,Germany,51.165691,10.451526,DE,57
655,Richard Kuhn,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Germany,Germany,Heidelberg,,1938,Chemistry,49.3987524,8.6724335,DE,Austria-Hungary,Austria,47.516231,14.550072,AT,38
655,Richard Kuhn,University of Heidelberg,Germany,Germany,Heidelberg,,1938,Chemistry,49.3987524,8.6724335,DE,Austria-Hungary,Austria,47.516231,14.550072,AT,38
244,Friedrich Bergius,University of Heidelberg,Germany,Germany,Heidelberg,,1931,Chemistry,49.3987524,8.6724335,DE,Germany,Poland,51.919438,19.145136,PL,47
244,Friedrich Bergius,I.G. Farbenindustrie A.G.,Germany,Germany,Mannheim-Rheinau,,1931,Chemistry,49.4320257,8.5275238,DE,Germany,Poland,51.919438,19.145136,PL,47
26,Albrecht Kossel,University of Heidelberg,Germany,Germany,Heidelberg,,1910,Physiology or Medicine,49.3987524,8.6724335,DE,Mecklenburg,Germany,51.165691,10.451526,DE,57
132,Corneille Heymans,Ghent University,Belgium,Belgium,Ghent,,1938,Physiology or Medicine,51.0543422,3.7174243,BE,Belgium,Belgium,50.503887,4.469936,BE,46
729,Shinya Yamanaka,Gladstone Institutes,USA,USA,San Francisco,CA,2012,Physiology or Medicine,37.7749295,-122.4194155,US,Japan,Japan,36.204824,138.252924,JP,50
729,Shinya Yamanaka,Kyoto University,Japan,Japan,Kyoto,,2012,Physiology or Medicine,35.0116363,135.7680294,JP,Japan,Japan,36.204824,138.252924,JP,50
189,Elizabeth H. Blackburn,University of California,USA,USA,San Francisco,CA,2009,Physiology or Medicine,37.7749295,-122.4194155,US,Australia,Australia,-25.274398,133.775136,AU,61
373,J. Michael Bishop,University of California School of Medicine,USA,USA,San Francisco,CA,1989,Physiology or Medicine,37.7749295,-122.4194155,US,USA,USA,37.09024,-95.712891,US,53
318,Harold E. Varmus,University of California School of Medicine,USA,USA,San Francisco,CA,1989,Physiology or Medicine,37.7749295,-122.4194155,US,USA,USA,37.09024,-95.712891,US,50
762,Stanley B. Prusiner,University of California School of Medicine,USA,USA,San Francisco,CA,1997,Physiology or Medicine,37.7749295,-122.4194155,US,USA,USA,37.09024,-95.712891,US,55
625,Peter Mitchell,Glynn Research Laboratories,United Kingdom,United Kingdom,Bodmin,,1978,Chemistry,50.46863,-4.715114,GB,United Kingdom,United Kingdom,55.378051,-3.435973,GB,58
388,James Franck,Goettingen University,Germany,Germany,Göttingen,,1925,Physics,51.5412804,9.9158035,DE,Germany,Germany,51.165691,10.451526,DE,43
592,Otto Wallach,Goettingen University,Germany,Germany,Göttingen,,1910,Chemistry,51.5412804,9.9158035,DE,Germany,Russia,61.52401,105.318756,RU,63
662,Richard Zsigmondy,Goettingen University,Germany,Germany,Göttingen,,1925,Chemistry,51.5412804,9.9158035,DE,Austrian Empire,Austria,47.516231,14.550072,AT,60
8,Adolf Windaus,Goettingen University,Germany,Germany,Göttingen,,1928,Chemistry,51.5412804,9.9158035,DE,Germany,Germany,51.165691,10.451526,DE,52
248,Fritz Pregl,Graz University,Austria,Austria,Graz,,1923,Chemistry,47.070714,15.439504,AT,Austria-Hungary,Slovenia,46.151241,14.995463,SI,54
